ingredient,emissions
allspice,1133
almond extract,656
almonds,2856
anchovy,4220
apple juice,2440
apple sauce,2146
applesauce,2146
apple,900
apricot,430
artichoke,338
asparagus,7032
aubergine,3095
avocados,2400
guacamole,2400
bacon,6628
bagel,1215
baguette,1301
baked beans,2467
banana,1300
barbeque sauce,222
barley,1118
basil,1133
bay leaf,1133
beef,43330
chuck,43330
sirloin,43330
oxtail,43330
standing rib roast,43330
beer,876
beetroot,1136
berries,2860
blueberries,2860
biscuits,1303
vanilla wafers,1303
black beans,852
pinto beans,852
black pepper,1133
red pepper,1133
brandy,2320
bread,1215
loaf,1215
sponge fingers,1215
bread crumbs,1215
bread roll,1215
hamburger bun,1215
broccoli,1081
brussels sprouts,750
buckwheat,718
bulgar,760
butter,9758
ghee,9868
buttermilk,1100
cabbage,622
cabbage - pickled,2569
cacao nibs,2655
cacao powder,4440
unsweetened cocoa powder,4440
carrot,1133
cashew nuts,2091
cassava starch,594
cauliflower,971
cayenne pepper,1133
celery,844
cheese,8787
brie,7417
camambert,7111
camembert,7111
cheddar,7417
cottage,2445
cream cheese,6440
cream cheese frosting,6440
edam,7111
emmental,7111
feta,7111
goat cheese,7111
gouda,7417
gruyère,8787
mascarpone,7417
paneer,7111
parmesan,7111
prato,7417
quark,2445
stilton,7417
curd,2445
cheesecake,5482
cherries,2860
cherries - frozen,2520
chestnuts,1460
chia seeds,4200
chickpeas,852
chili,2019
jalapeño,2019
chilli flakes,1133
chilli pepper,2019
chilli powder,1133
chile powder,1133
chile paste,1535
chipotle paste,1535
chips,3822
chives,1133
chocolate,5763
bittersweet chocolate chips,5763
chutney,1656
cider bottle,876
cider can,660
cinnamon,1133
clams,3036
cloves,1133
cockles,3036
cocoa drink powder,4440
coconut oil,2415
coconut sugar,656
cod,3214
coffee beans,4500
coffee liqueur,2320
coley,4362
coriander,1133
cilantro,1133
corn,405
corn crisps,1325
corn oil,1199
cornstarch,891
cornflour,1034
cornmeal,1034
tacos,1081
cottonseed oil,2140
courgette,861
couscous,2440
crab,17746
crackers,1155
cranberries,2860
crayfish,17746
cream,3724
whipped cream,3724
crepe,711
crisps,4410
crumpet,1215
cucumber,1928
cornichon,4074
cumin,1133
currants,2100
custard,2454
date,2100
dill,1133
donut,6579
dried peas (shelled),2388
duck,5054
eel,4220
egg,4506
espresso,706
faba beans,852
falafel,2510
fennel seeds,4200
ajwain,4200
fish sauce,222
fish sticks,1906
five spice,1133
flapjacks,6840
flat white,1613
flatfish,4362
flounder,4362
flour,891
flour - rye,709
food colouring,656
frozen pulses,1834
fruit cordial,1927
fruit juice,1711
pie filling,1578
fudge,2412
gammon,6628
garam masala,1133
garlic,452
ginger,452
gluten-free biscuit,3300
goat,35714
golden syrup,656
goose,5054
granola,4016
grapefruit juice,2060
grapefruits,800
grapes,2300
gravy,222
green beans,5668
guinea fowl,5054
haddock,4362
hake,4362
halibut,4362
ham,6628
spam,6628
haricot beans,852
hazelnut paste,1266
hazelnut spread,2710
herbs and spices,1133
herring,1586
hoki,4362
honey,1657
hot chocolate,2727
hummus,852
ice cream,3802
instant coffee,706
jam,2146
tea,605
kale,1609
kidney beans,852
kipper,4220
kiwi,621
krill,17746
lamb,20825
lard,6116
latte,1613
leek,1051
lemon juice,622
lemon sole,4362
lemons,1900
lentils,670
lettuce,2063
iceberg,2063
lime,1900
lime juice,622
liquorice,2412
lobster,17746
macaroni,1374
mackerel,895
maize,510
mandarins,1100
mangoes,4400
maple syrup,656
marmalade,2146
marmite,1660
marshmallows,2412
marzipan,1657
mayonnaise,4030
melon,900
milk,2453
buffalo milk,3380
condensed milk,3100
dulce de leche,3100
mint,1133
mirin,222
hoisin sauce,222
miso paste,222
mixed nuts,2056
mixed seeds,2978
mocha,1613
muesli,1015
muffin,6579
mushrooms,1405
mussels,3036
mustard,222
mustard oil,2900
naan bread - plain,1215
nectarines,1900
noodles,1374
nutmeg,1133
oat flakes,790
oatly oat drink,318
oatly oat drink - barista edition,376
oatly oat drink - calcium,283
oatly oat drink - calcium organic,395
oatly oat drink - chocolate,350
oatly oat drink - chocolate deluxe,330
oatly oat drink - deluxe,300
oatly oat drink - deluxe (germany, austria, netherlands),685
oatly oat drink - low-fat,390
oatly oat drink - low-fat organic,290
oatly oat drink - orange mango,385
oatly oat drink - organic,321
oatly oat drink - semi-skimmed,515
oatly oat drink - semi-skimmed organic,315
oatly oat drink - vanilla,430
oatly oat drink - vanilla organic,350
oats,785
octopus,3036
olive oil,2526
olive,463
onion,1051
orange juice,2000
oranges,1900
oregano,1133
other pulses,3300
other spirits,2320
oyster sauce,222
oysters,3036
palm oil,6116
pancake,711
pancetta,6628
pangasius,4362
papaya,4400
paprika,1133
parsley,1133
parsnips,678
passata,1959
pasta,1374
cheese ravioli,4534
pastry,6579
double pie crust,6579
wrapper,4138
dough,6579
peaches,1900
peanut,1360
peanut butter,2107
peanut oil,3637
pears,1028
peas,428
pecan,2129
peppermint extract,656
pepper,2019
pesto,2526
pineapples,170
pineapple juice,25230
pistachio,2330
pitta bread,1215
plaice,4362
plant-based spread,3081
plums,1125
prunes,4440
polenta,760
grits,760
pollock,3214
pork,6628
pork mince,6628
porridge,3958
potatoes,1273
potato,1273
french fry,1273
gnocchi,1273
prawn,17746
pumpkin seeds,4200
quinoa,816
rabbit,11019
raisins,2100
rapeseed oil,2404
raspberries,2569
raspberries - frozen,2300
red onion,1051
relish,1656
rhubarb,844
rice,1354
rocket,1609
arugula,1609
rosemary,1133
rum,2320
sage,1133
salad cream,4030
salad dressing,4607
salad leaves,1609
salmon,4787
salt,1133
sausage,6628
chorizo,6628
sardines,4220
scallops,3036
scones,3064
sea bass,4362
seabass,4362
seaweed,3036
sesameseed oil,4200
shallot,1051
sherry,1369
shrimp,17746
soy sauce,222
shoyu,222
soybean oil,1583
soybeans,2000
edamame,2000
spagheti bolognese - ready meal,11667
spaghetti,1374
spinach,1457
spring onion,1051
scallion,1051
squash,1162
squid,3036
calamari,3036
steak,43330
stir fry sauce,222
stock,222
dashi,222
strawberry,2243
strawerries - frozen,2334
sugar,656
