,missing_ingredients
0,kosher salt
1,lobster tails
2,extra virgin olive oil
3,confectioners
4,granulated sugar
5,egg whites
6,dark rum
7,coarse salt
8,pork chop
9,baby back ribs
10,baby back ribs
11,baby back ribs
12,smoked paprika
13,beef tenderloin
14,dijon mustard
15,egg yolk
16,russet potatoes
17,all purpose flour
18,chicken stock
19,lemongrass
20,galangal
21,foie gras
22,foie gras
23,unsalted butter
24,grated nutmeg
25,toasted sesame oil
26,bok choy
27,bok choy
28,fresh ginger
29,dumpling wrappers
30,duckling
31,granny smith
32,granny smith
33,yukon gold
34,zucchini
35,mung bean sprouts
36,safflower oil
37,harissa
38,pitted black olives
39,ketchup
40,light brown sugar
41,light brown sugar
42,shoulder roast
43,hot dog buns
44,hot dog buns
45,balsamic vinegar
46,heavy cream
47,lavender
48,gelatin
49,cupcakes
50,powdered sugar
51,bittersweet chocolate
52,ricotta
53,cannoli shells
54,cannoli shells
55,brown sugar
56,green onions
57,andouille sausage
58,fresh tarragon
59,whole milk
60,fresh basil
61,parsely
62,mozzarella cheese
63,grapeseed oil
64,ramen noodles
65,cooked chicken breast
66,cooked chicken breast
67,cooked chicken breast
68,capers
69,cherry tomatoes
70,red bell pepper
71,fresh dill
72,cracked pepper
73,monterey jack
74,sourdough
75,filet mignon
76,filet mignon
77,cognac
78,beef broth
79,pecorino romano
80,pecorino romano
81,soup mix
82,nori
83,lasagna noodles
84,portobello mushrooms
85,crabmeat
86,old bay seasoning
87,pound cake
88,tomato purée
89,confectioners' sugar
90,coffee liqueur
91,unsweetened cocoa powder
92,heavy whipping cream
93,heavy whipping cream
94,whole grain waffles
95,whole grain waffles
96,whole grain waffles
97,cornichons
98,lemon zest
99,chicken drumettes
100,chicken drumettes
101,semisweet chocolate
102,heirloom tomatos
103,heirloom tomatos
104,chicken
105,whole tomatoes
106,pizza dough
107,mozzarella
108,romaine lettuce
109,poblano pepper
110,pinto beans
111,egg yolks
112,superfine sugar
113,chicken or vegetable stock
114,white pullman loaf
115,beefsteak tomatoes
116,strawberry
117,whipped topping
118,whipped topping
119,vanilla wafers
120,skirt steak
121,bittersweet chocolate chips
122,phyllo dough
123,american cheese
124,whole wheat tortillas
125,whole wheat tortillas
126,persian cucumber
127,chicken wings
128,chicken wings
129,kalamata olives
130,firm tofu
131,firm tofu
132,knob ginger
133,dried shiitake mushrooms
134,gyoza wrappers
135,hollandaise sauce
136,english muffins
137,english muffins
138,hard boiled eggs
139,hard boiled eggs
140,corriander leaves
141,ajwain
142,ghee
143,seasoned rice vinegar
144,chipotle paste
145,fine sea salt
146,anchovy fillets
147,granny smith apples
148,granny smith apples
149,bourbon
150,double pie crust
151,double pie crust
152,crushed red pepper
153,dark chocolate
154,yellow onions
155,yellow onions
156,fresh thyme
157,diced tomatoes
158,wonton wrappers
159,gruyère
160,yellow onion
161,dry white wine
162,french rolls
163,french rolls
164,corn tortillas
165,salsa
166,flour tortillas
167,chicken meat
168,beef shin
169,beef brisket
170,star anise
171,beef flank steak
172,blueberries
173,figs
174,camembert
175,cornmeal
176,yellowfin tuna
177,agave
178,tofu
179,french fries
180,french fries
